session_id,customer_id,session_date,pages_visited,time_spent_minutes,device_type,source
48,798,2024-02-17,15,51.85,Desktop,Organic
49,769,2024-09-19,7,80.76,Mobile,Referral
50,939,2023-12-27,4,57.46,Tablet,Paid
51,509,2024-03-10,7,22.92,Mobile,Paid
52,717,2025-05-31,5,107.52,Tablet,Paid
53,631,2024-03-10,15,86.45,Mobile,Organic
54,632,2024-11-13,11,119.26,Mobile,Organic
55,161,2025-04-06,1,115.58,Mobile,Organic
56,35,2025-11-16,8,37.94,Desktop,Referral
57,972,2024-07-19,3,104.44,Tablet,Referral
58,863,2024-06-04,11,69.53,Desktop,Organic
59,661,2024-06-09,4,7.37,Tablet,Paid
60,609,2024-01-10,3,10.2,Desktop,Referral
61,363,2024-05-13,11,97.47,Mobile,Referral
62,59,2025-09-10,10,43.47,Tablet,Referral
63,947,2024-11-05,4,27.96,Mobile,Referral
64,376,2025-05-07,10,14.22,Desktop,Referral
65,871,2024-04-14,9,3.91,Mobile,Referral
66,616,2025-08-18,6,78.61,Desktop,Organic
67,717,2025-10-17,12,16.01,Tablet,Paid
68,907,2025-11-08,9,37.41,Tablet,Paid
69,260,2025-04-18,13,49.56,Desktop,Paid
70,649,2025-06-07,6,105.94,Tablet,Referral
71,676,2025-07-04,1,45.34,Tablet,Organic
72,906,2025-11-04,6,45.82,Tablet,Organic
73,718,2024-12-16,12,5.85,Mobile,Paid
74,500,2024-01-21,10,87.6,Tablet,Referral
75,848,2025-01-20,5,33.96,Mobile,Referral
76,53,2024-10-16,8,24.73,Mobile,Referral
77,841,2025-04-06,2,37.92,Desktop,Paid
78,464,2025-04-16,2,119.94,Desktop,Organic
79,294,2024-04-03,3,13.21,Tablet,Paid
80,393,2024-07-07,1,27.83,Mobile,Paid
81,416,2024-07-18,1,53.97,Tablet,Paid
82,32,2024-11-18,6,61.61,Desktop,Referral
83,687,2025-10-07,2,2.57,Tablet,Paid
84,470,2025-10-09,6,77.41,Tablet,Referral
85,272,2024-08-29,2,40.35,Tablet,Paid
86,791,2024-10-19,3,75.03,Mobile,Referral
87,68,2024-04-24,1,6.63,Tablet,Organic
88,748,2025-09-29,7,48.02,Mobile,Referral
89,757,2024-01-17,5,28.72,Desktop,Organic
90,538,2025-08-12,7,95.05,Tablet,Organic
91,139,2025-08-17,10,19.43,Mobile,Referral
92,115,2024-02-19,1,74.45,Desktop,Paid
93,688,2024-03-10,3,53.7,Mobile,Paid
94,230,2025-03-29,7,103.27,Desktop,Referral
95,211,2024-01-28,14,35.69,Desktop,Paid
96,384,2024-05-10,4,33.88,Mobile,Paid
97,754,2025-01-25,10,57.33,Desktop,Referral
98,849,2025-05-25,9,53.68,Tablet,Paid
99,648,2023-12-11,8,38.16,Mobile,Paid
100,861,2024-12-15,2,35.52,Tablet,Organic
101,89,2025-01-25,2,86.65,Mobile,Organic
102,276,2025-09-18,14,67.92,Tablet,Paid
103,926,2024-04-22,11,18.34,Desktop,Paid
104,983,2025-02-05,3,94.26,Mobile,Referral
105,132,2025-11-01,14,14.95,Mobile,Organic
106,121,2024-12-13,14,110.32,Tablet,Organic
107,329,2025-01-22,15,78.36,Desktop,Organic
108,392,2025-07-10,14,92.48,Desktop,Referral
109,741,2025-08-10,9,58.45,Mobile,Organic
110,794,2024-01-05,8,82.56,Desktop,Referral
111,183,2025-11-02,1,75.74,Tablet,Referral
112,262,2024-10-01,2,48.45,Desktop,Organic
113,503,2024-10-18,9,75.91,Tablet,Referral
114,414,2024-01-29,6,52.83,Mobile,Organic
115,82,2024-08-03,6,116.69,Tablet,Paid
116,948,2025-05-24,13,12.61,Tablet,Paid
117,712,2025-10-15,6,44.09,Mobile,Paid
118,879,2024-07-19,14,30.52,Tablet,Paid
119,600,2024-08-25,12,44.11,Desktop,Paid
120,777,2025-03-27,4,63.41,Desktop,Referral
121,590,2025-09-29,8,52.61,Mobile,Organic
122,213,2024-12-30,1,24.43,Desktop,Referral
123,394,2024-08-13,11,10.86,Desktop,Referral
124,242,2025-01-01,2,28.28,Desktop,Organic
125,247,2024-10-06,5,15.45,Mobile,Organic
126,64,2024-09-17,11,26.66,Desktop,Paid
127,67,2024-05-27,15,59.24,Mobile,Organic
128,565,2024-08-30,12,113.08,Tablet,Organic
129,272,2024-10-31,4,29.72,Desktop,Organic
130,551,2024-08-09,6,81.69,Desktop,Organic
131,130,2025-06-02,11,1.09,Tablet,Paid
132,342,2025-09-07,9,17.95,Desktop,Organic
133,153,2024-07-17,14,67.05,Mobile,Organic
134,207,2024-01-31,12,82.37,Tablet,Paid
135,739,2025-01-09,11,65.13,Desktop,Paid
136,35,2025-11-21,7,14.96,Tablet,Paid
137,363,2023-12-22,7,28.38,Mobile,Referral
138,709,2024-04-06,4,94.87,Tablet,Referral
139,779,2025-04-01,12,18.96,Mobile,Organic
140,973,2025-09-23,14,99.32,Mobile,Referral
141,644,2025-01-30,4,55.03,Desktop,Referral
142,424,2025-05-11,8,108.43,Mobile,Organic
143,175,2025-01-08,14,19.4,Mobile,Referral
144,17,2024-04-14,1,30.96,Mobile,Referral
145,92,2024-08-18,2,39.07,Desktop,Referral
146,375,2024-03-17,11,11.58,Desktop,Paid
147,256,2024-01-28,14,35.27,Tablet,Organic
148,345,2025-11-27,9,26.95,Tablet,Paid
149,847,2024-04-11,9,20.11,Mobile,Organic
150,285,2025-11-09,4,24.73,Desktop,Organic
151,382,2025-04-27,3,25.84,Mobile,Referral
152,455,2025-01-09,11,29.32,Tablet,Organic
153,689,2025-05-30,4,49.17,Mobile,Referral
154,259,2025-01-22,2,37.35,Tablet,Referral
155,525,2024-09-21,3,12.55,Tablet,Paid
156,188,2024-10-31,4,39.44,Tablet,Organic
157,814,2025-02-25,10,88.74,Desktop,Paid
158,91,2024-01-01,10,118.29,Mobile,Paid
159,366,2025-11-06,2,77.41,Mobile,Referral
160,700,2025-11-17,7,43.15,Tablet,Referral
161,442,2024-08-01,3,27.91,Desktop,Referral
162,511,2025-09-07,8,75.77,Desktop,Referral
163,135,2025-03-20,8,21.53,Mobile,Referral
164,596,2024-06-28,1,30.43,Desktop,Referral
165,178,2024-09-28,14,22.17,Tablet,Referral
166,560,2025-03-01,8,23.52,Tablet,Organic
167,506,2025-11-15,3,76.72,Desktop,Organic
168,612,2025-06-07,14,104.77,Mobile,Paid
169,970,2025-03-14,8,13.97,Mobile,Referral
170,297,2025-01-11,14,4.73,Mobile,Referral
171,211,2025-07-13,15,16.7,Tablet,Referral
172,173,2024-07-27,5,99.24,Tablet,Paid
173,291,2024-04-14,9,24.12,Tablet,Paid
174,784,2025-01-19,2,12.79,Mobile,Referral
175,62,2024-12-23,10,112.73,Desktop,Referral
176,528,2025-10-21,4,46.93,Desktop,Referral
177,278,2024-03-30,12,51.46,Tablet,Organic
178,391,2025-05-21,4,109.99,Mobile,Referral
179,431,2025-09-12,15,89.19,Tablet,Referral
180,251,2025-01-16,10,72.7,Mobile,Organic
181,497,2024-07-09,8,93.74,Tablet,Organic
182,300,2024-11-12,9,85.98,Desktop,Referral
183,631,2025-10-16,9,91.04,Tablet,Paid
184,921,2023-12-27,6,77.32,Desktop,Organic
185,589,2024-08-11,6,105.29,Desktop,Referral
186,647,2024-03-28,10,69.34,Desktop,Organic
187,11,2024-01-03,13,19.24,Mobile,Organic
188,341,2024-06-05,7,60.54,Tablet,Organic
189,458,2024-01-30,7,110.33,Tablet,Referral
190,597,2025-05-03,5,103.12,Mobile,Organic
191,426,2024-05-19,4,116.74,Desktop,Referral
192,265,2025-09-12,12,106.29,Mobile,Organic
193,18,2025-05-06,2,103.67,Mobile,Organic
194,942,2024-04-08,3,58.69,Tablet,Paid
195,194,2025-08-23,4,11.55,Tablet,Referral
196,355,2025-03-23,9,97.45,Mobile,Organic
197,93,2025-01-22,5,88.64,Mobile,Paid
198,680,2025-02-03,6,7.22,Mobile,Paid
199,400,2025-10-03,4,102.96,Tablet,Paid
200,275,2025-11-01,2,74.45,Mobile,Paid
201,976,2024-11-21,2,117.06,Desktop,Organic
202,455,2024-02-08,7,88.26,Desktop,Organic
203,600,2025-08-06,7,106.13,Desktop,Organic
204,873,2025-06-21,3,97.11,Tablet,Paid
205,947,2025-07-08,11,104.79,Tablet,Paid
206,940,2025-10-01,14,6.82,Desktop,Organic
207,636,2024-04-08,11,37.04,Desktop,Referral
208,594,2024-05-10,4,109.48,Desktop,Organic
209,167,2025-07-01,7,9.28,Tablet,Referral
210,237,2024-04-01,9,45.78,Tablet,Referral
211,811,2025-11-12,4,15.45,Mobile,Referral
212,133,2023-12-13,10,64.66,Mobile,Referral
213,339,2024-05-09,3,19.11,Mobile,Organic
214,90,2025-10-03,11,17.8,Desktop,Organic
215,404,2024-10-31,7,42.8,Desktop,Paid
216,143,2024-09-21,4,27.36,Desktop,Organic
217,153,2025-01-09,2,57.79,Mobile,Organic
218,995,2024-11-03,12,116.93,Mobile,Referral
219,224,2024-07-14,10,55.49,Tablet,Organic
220,276,2024-03-07,12,115.31,Tablet,Paid
221,941,2025-08-02,12,45.77,Tablet,Organic
222,817,2024-11-07,9,9.67,Mobile,Referral
223,242,2025-11-20,10,118.7,Desktop,Referral
224,30,2025-10-07,13,17.35,Mobile,Paid
225,363,2025-07-03,14,2.78,Tablet,Organic
226,58,2024-12-07,15,28.8,Mobile,Referral
227,853,2025-01-26,15,105.45,Mobile,Organic
228,33,2024-09-27,2,74.13,Desktop,Organic
229,496,2024-03-14,14,41.61,Mobile,Paid
230,731,2024-10-27,15,54.78,Tablet,Referral
231,417,2025-01-23,3,118.52,Desktop,Organic
232,141,2025-05-28,10,30.18,Tablet,Referral
233,272,2025-04-28,12,105.34,Mobile,Organic
234,191,2025-07-26,5,35.53,Mobile,Organic
235,538,2024-08-18,11,108.14,Mobile,Referral
236,956,2024-04-22,3,113.02,Mobile,Organic
237,894,2024-11-29,13,78.37,Mobile,Paid
238,180,2024-03-20,13,72.16,Desktop,Referral
239,6,2025-01-14,8,72.05,Desktop,Paid
240,879,2024-11-23,8,102.78,Desktop,Paid
241,199,2025-06-25,15,24.18,Tablet,Paid
242,828,2024-09-19,14,98.4,Tablet,Paid
243,457,2023-12-22,3,101.59,Mobile,Referral
244,89,2025-06-13,3,99.85,Tablet,Organic
245,746,2024-06-05,7,21.35,Mobile,Organic
246,340,2024-03-25,7,110.97,Desktop,Organic
247,822,2023-12-04,13,22.24,Desktop,Paid
248,657,2024-12-26,15,45.61,Mobile,Paid
249,411,2025-11-07,11,70.77,Desktop,Organic
250,245,2024-12-09,15,76.14,Desktop,Referral
251,703,2024-11-12,5,44.2,Tablet,Paid
252,699,2025-02-07,7,88.62,Desktop,Paid
253,946,2024-05-23,12,9.07,Desktop,Paid
254,95,2025-09-05,2,62.86,Desktop,Paid
255,5,2024-06-25,1,105.93,Desktop,Referral
256,629,2024-11-03,6,102.79,Tablet,Referral
257,64,2024-01-31,13,59.21,Tablet,Paid
258,716,2025-06-29,5,23.32,Mobile,Referral
259,939,2023-12-05,9,68.63,Tablet,Referral
260,299,2024-10-10,6,24.06,Desktop,Paid
261,283,2024-04-19,4,17.5,Desktop,Organic
262,73,2025-04-30,6,69.06,Mobile,Organic
263,249,2025-01-20,4,54.93,Tablet,Paid
264,578,2024-05-24,7,8.46,Mobile,Organic
265,180,2025-08-30,2,53.3,Tablet,Organic
266,47,2024-05-20,1,74.23,Tablet,Referral
267,488,2024-06-23,8,102.23,Desktop,Paid
268,95,2025-04-08,5,110.72,Tablet,Paid
269,357,2025-04-04,15,91.71,Mobile,Paid
270,341,2024-08-25,4,98.31,Tablet,Organic
271,528,2025-08-22,2,81.82,Tablet,Referral
272,515,2025-10-05,4,72.45,Tablet,Paid
273,52,2025-07-07,14,54.57,Tablet,Organic
274,872,2025-07-09,12,98.89,Tablet,Paid
275,54,2025-04-07,15,77.19,Desktop,Paid
276,460,2025-05-29,2,3.62,Mobile,Referral
277,219,2024-09-11,3,62.62,Desktop,Paid
278,615,2024-12-07,4,4.73,Desktop,Organic
279,857,2024-06-05,4,79.21,Tablet,Organic
280,385,2024-08-21,12,48.71,Desktop,Organic
281,516,2025-10-21,4,88.77,Desktop,Referral
282,785,2024-10-25,8,15.44,Mobile,Paid
283,857,2024-04-12,8,41.12,Mobile,Paid
284,983,2024-04-27,13,73.53,Mobile,Paid
285,285,2025-04-18,2,62.04,Mobile,Paid
286,576,2024-03-09,7,34.69,Mobile,Paid
287,373,2025-09-27,7,90.07,Mobile,Paid
288,282,2025-08-15,2,3.55,Tablet,Referral
289,121,2025-09-21,5,96.08,Desktop,Organic
290,848,2025-09-11,10,16.27,Mobile,Paid
291,793,2024-11-15,10,5.51,Tablet,Paid
292,967,2024-12-22,8,10.43,Desktop,Paid
293,604,2025-04-13,9,36.67,Desktop,Organic
294,637,2025-06-06,5,54.44,Mobile,Paid
295,219,2025-07-17,8,40.14,Desktop,Paid
296,63,2023-12-28,1,15.47,Desktop,Organic
297,200,2024-01-12,2,53.59,Mobile,Paid
298,647,2024-06-14,12,108.21,Desktop,Referral
299,867,2024-08-12,12,29.61,Tablet,Organic
300,16,2024-05-13,7,29.5,Mobile,Referral
301,631,2024-08-19,8,61.13,Mobile,Paid
302,921,2025-01-15,7,117.4,Tablet,Organic
303,599,2024-09-01,2,51.39,Tablet,Referral
304,24,2025-05-31,8,65.79,Mobile,Referral
305,687,2025-02-25,3,83.52,Tablet,Paid
306,881,2024-11-28,12,99.11,Mobile,Paid
307,357,2024-05-17,10,41.75,Desktop,Paid
308,603,2024-01-16,14,37.4,Mobile,Organic
309,188,2024-03-06,5,116.09,Tablet,Organic
310,132,2025-07-24,12,13.01,Desktop,Paid
311,39,2024-11-23,11,105.49,Tablet,Organic
312,452,2024-05-19,12,64.44,Desktop,Referral
313,319,2025-07-01,8,83.04,Mobile,Referral
314,448,2025-04-07,11,15.64,Desktop,Paid
315,249,2025-05-02,11,101.51,Mobile,Paid
316,402,2025-08-31,15,55.52,Desktop,Paid
317,943,2024-03-07,15,64.93,Tablet,Referral
318,68,2024-04-10,9,37.97,Desktop,Paid
319,788,2025-01-30,9,111.59,Mobile,Referral
320,264,2024-08-23,1,100.24,Mobile,Referral
321,884,2025-08-24,6,96.02,Mobile,Referral
322,503,2025-11-17,7,21.7,Desktop,Organic
323,997,2025-08-20,10,22.9,Tablet,Paid
324,516,2024-11-12,12,48.84,Mobile,Organic
325,205,2025-11-15,9,77.94,Mobile,Organic
326,561,2025-11-07,14,101.59,Tablet,Paid
327,232,2023-12-17,14,86.6,Desktop,Organic
328,146,2024-07-29,9,114.96,Tablet,Organic
329,740,2025-06-02,6,43.22,Desktop,Referral
330,361,2024-04-04,3,40.99,Mobile,Paid
331,826,2025-08-03,10,29.79,Desktop,Referral
332,750,2024-06-14,11,81.15,Mobile,Organic
333,354,2024-01-01,9,62.23,Tablet,Referral
334,265,2025-07-14,2,9.63,Desktop,Referral
335,278,2025-06-16,3,96.84,Desktop,Paid
336,472,2024-03-27,14,58.73,Desktop,Paid
337,765,2024-08-13,6,25.76,Mobile,Organic
338,469,2024-08-21,15,8.72,Tablet,Organic
339,518,2024-08-18,7,38.08,Mobile,Referral
340,264,2024-07-12,6,8.11,Desktop,Paid
341,893,2025-11-04,7,55.45,Mobile,Referral
342,740,2024-10-13,12,43.21,Tablet,Organic
343,789,2025-01-07,15,102.77,Desktop,Paid
344,909,2025-03-12,13,112.22,Mobile,Organic
345,923,2025-06-16,6,3.51,Mobile,Organic
346,666,2025-08-04,3,84.86,Tablet,Organic
347,559,2025-05-26,11,19.78,Mobile,Referral
348,1000,2025-05-14,5,28.18,Mobile,Organic
349,18,2024-05-21,4,22.43,Tablet,Paid
350,471,2025-02-21,10,53.66,Tablet,Paid
351,69,2025-08-09,8,2.37,Mobile,Organic
352,439,2024-11-13,7,75.16,Tablet,Referral
353,731,2025-10-23,8,74.83,Mobile,Referral
354,299,2025-11-10,6,87.0,Desktop,Organic
355,645,2024-11-19,10,11.21,Mobile,Referral
356,486,2025-04-17,14,20.08,Mobile,Referral
357,911,2023-12-30,10,111.21,Tablet,Referral
358,862,2024-07-14,13,50.6,Tablet,Referral
359,20,2024-02-18,2,87.99,Desktop,Paid
360,804,2024-02-18,12,86.3,Mobile,Organic
361,266,2024-10-17,3,61.15,Mobile,Paid
362,232,2024-12-04,5,92.94,Desktop,Organic
363,336,2025-02-05,15,35.9,Desktop,Referral
364,432,2025-01-20,10,44.22,Desktop,Referral
365,105,2025-09-23,8,20.14,Mobile,Organic
366,979,2024-01-22,1,16.79,Mobile,Organic
367,1000,2024-09-04,3,105.08,Mobile,Organic
368,59,2025-08-03,8,78.22,Mobile,Referral
369,127,2025-02-25,1,80.57,Mobile,Organic
370,138,2024-10-22,7,114.52,Mobile,Referral
371,771,2025-04-08,15,70.98,Mobile,Referral
372,433,2025-07-31,6,21.61,Desktop,Paid
373,76,2025-10-01,3,46.34,Tablet,Referral
374,692,2024-07-08,3,108.48,Desktop,Organic
375,521,2024-10-05,1,74.93,Desktop,Paid
376,464,2025-10-05,15,99.69,Mobile,Paid
377,272,2025-04-13,2,29.53,Desktop,Organic
378,257,2024-11-21,10,87.17,Mobile,Paid
379,169,2024-05-28,12,100.04,Desktop,Organic
380,855,2025-01-12,6,74.41,Tablet,Organic
381,230,2024-09-28,9,117.25,Desktop,Referral
382,352,2025-09-13,15,66.81,Desktop,Paid
383,890,2025-08-02,9,52.81,Tablet,Referral
384,376,2025-10-08,6,31.02,Mobile,Organic
385,894,2024-08-22,4,73.32,Tablet,Paid
386,752,2024-09-20,11,87.62,Mobile,Referral
387,365,2025-03-16,12,15.31,Mobile,Referral
388,961,2023-12-07,10,102.12,Desktop,Paid
389,7,2024-07-17,2,31.05,Mobile,Organic
390,338,2024-07-03,3,84.77,Tablet,Organic
391,935,2025-01-02,2,34.24,Mobile,Paid
392,545,2025-05-04,12,32.2,Desktop,Referral
393,522,2025-11-19,2,36.35,Desktop,Referral
394,634,2025-10-27,3,11.32,Desktop,Referral
395,132,2024-06-22,1,71.99,Desktop,Referral
396,997,2025-07-01,11,86.77,Desktop,Paid
397,600,2025-05-04,5,69.21,Mobile,Referral
398,844,2024-10-29,9,81.31,Desktop,Referral
399,572,2024-12-21,4,45.84,Desktop,Paid
400,225,2025-07-01,6,22.12,Tablet,Paid
401,51,2024-05-25,10,92.47,Desktop,Paid
402,970,2024-05-08,2,13.61,Mobile,Organic
403,961,2024-04-23,5,31.96,Tablet,Referral
404,888,2025-06-04,12,25.67,Desktop,Paid
405,105,2024-04-16,15,77.31,Desktop,Paid
406,15,2025-03-28,8,84.41,Tablet,Organic
407,990,2025-09-18,2,76.36,Mobile,Paid
408,446,2024-01-23,3,70.51,Desktop,Referral
409,697,2025-05-18,5,69.95,Mobile,Referral
410,53,2024-04-04,6,90.08,Desktop,Organic
411,658,2024-07-07,12,6.57,Desktop,Referral
412,12,2025-01-25,12,7.6,Mobile,Referral
413,721,2025-03-11,2,20.56,Mobile,Organic
414,979,2024-08-12,4,27.38,Desktop,Referral
415,187,2024-08-29,5,52.41,Tablet,Paid
416,321,2025-01-18,5,90.74,Mobile,Referral
417,582,2024-11-25,4,97.08,Tablet,Organic
418,204,2025-11-12,9,101.12,Desktop,Paid
419,332,2025-05-18,14,72.65,Tablet,Organic
420,635,2024-11-03,4,107.39,Mobile,Organic
421,761,2023-12-22,15,56.36,Tablet,Paid
422,638,2023-12-08,9,66.7,Desktop,Organic
423,447,2025-04-25,9,5.43,Desktop,Referral
424,839,2025-09-19,12,83.84,Mobile,Organic
425,581,2024-10-23,3,49.9,Tablet,Referral
426,576,2025-10-22,5,85.59,Tablet,Organic
427,706,2024-04-03,12,16.15,Mobile,Paid
428,737,2024-06-02,6,22.66,Mobile,Referral
429,303,2025-05-09,10,61.49,Desktop,Paid
430,239,2025-03-21,3,114.8,Tablet,Referral
431,972,2024-06-20,10,66.52,Desktop,Referral
432,173,2025-11-29,2,10.91,Tablet,Referral
433,698,2024-07-29,9,70.11,Desktop,Organic
434,463,2025-02-24,4,80.68,Tablet,Paid
435,774,2025-09-12,12,76.02,Desktop,Paid
436,739,2025-03-04,11,30.95,Desktop,Organic
437,963,2025-05-09,11,21.18,Desktop,Organic
438,908,2025-09-13,14,61.07,Mobile,Referral
439,73,2024-07-03,8,97.82,Desktop,Organic
440,17,2024-04-02,9,99.98,Mobile,Organic
441,98,2024-10-22,4,9.71,Desktop,Paid
442,770,2024-06-30,14,22.46,Desktop,Paid
443,484,2023-12-24,4,85.94,Tablet,Paid
444,132,2024-12-13,12,3.92,Mobile,Referral
445,249,2024-10-15,10,68.94,Mobile,Referral
446,388,2023-12-18,8,81.43,Mobile,Referral
447,295,2025-04-07,10,65.26,Mobile,Referral
448,880,2025-02-03,8,9.14,Mobile,Paid
449,533,2025-03-05,4,66.91,Desktop,Paid
450,328,2024-08-06,5,51.14,Tablet,Organic
451,568,2024-05-08,8,23.65,Tablet,Referral
452,643,2024-01-14,10,2.95,Desktop,Organic
453,114,2024-02-04,1,75.0,Mobile,Organic
454,593,2024-03-09,15,47.48,Mobile,Organic
455,527,2025-06-10,10,95.44,Desktop,Referral
456,937,2024-01-05,13,30.7,Tablet,Paid
457,851,2024-05-23,2,75.62,Mobile,Referral
458,100,2025-09-27,1,106.17,Desktop,Referral
459,564,2024-06-07,3,58.56,Tablet,Organic
460,582,2025-02-19,14,30.39,Desktop,Organic
461,303,2024-12-31,15,4.43,Tablet,Organic
462,266,2023-12-22,13,8.76,Mobile,Paid
463,786,2025-05-21,10,15.44,Desktop,Organic
464,969,2024-02-29,11,83.84,Tablet,Referral
465,838,2024-06-04,15,16.44,Desktop,Organic
466,62,2025-06-12,8,55.12,Mobile,Organic
467,690,2024-12-25,2,106.69,Desktop,Referral
468,234,2024-12-21,14,94.96,Desktop,Paid
469,779,2024-02-08,3,73.12,Desktop,Referral
470,834,2025-10-03,5,49.72,Mobile,Paid
471,102,2025-07-11,6,8.73,Mobile,Paid
472,161,2024-09-16,12,6.36,Tablet,Paid
473,724,2024-03-20,4,50.72,Tablet,Organic
474,18,2025-01-25,4,90.99,Desktop,Organic
475,337,2024-05-21,13,113.75,Tablet,Organic
476,898,2024-06-09,13,88.34,Desktop,Referral
477,145,2024-09-01,1,36.56,Mobile,Paid
478,568,2024-10-24,8,22.0,Tablet,Organic
479,398,2025-01-29,4,96.91,Desktop,Organic
480,422,2025-03-29,14,25.43,Tablet,Organic
481,905,2024-01-10,15,83.39,Tablet,Organic
482,47,2024-08-04,15,69.29,Mobile,Organic
483,999,2025-10-22,4,99.75,Desktop,Organic
484,68,2025-10-19,3,100.26,Tablet,Referral
485,595,2025-01-28,4,80.51,Tablet,Paid
486,286,2025-07-24,2,9.89,Mobile,Paid
487,971,2024-01-27,9,89.06,Mobile,Paid
488,617,2023-12-29,2,30.76,Tablet,Paid
489,678,2025-01-23,13,83.58,Tablet,Referral
490,841,2025-05-06,9,71.41,Desktop,Referral
491,263,2023-12-13,13,21.74,Mobile,Referral
492,946,2024-02-28,13,98.29,Mobile,Paid
493,409,2024-09-09,10,10.91,Mobile,Paid
494,450,2025-08-26,10,32.01,Desktop,Organic
495,947,2024-05-17,2,92.45,Mobile,Organic
496,964,2024-05-08,9,25.25,Desktop,Organic
497,862,2024-11-18,10,91.8,Desktop,Organic
498,282,2024-07-04,6,22.18,Tablet,Organic
499,902,2025-09-10,3,4.1,Mobile,Referral
500,802,2025-08-18,11,106.41,Tablet,Organic
501,115,2024-05-01,3,76.77,Desktop,Organic
502,969,2024-08-09,4,117.53,Desktop,Paid
503,19,2024-10-08,14,84.15,Tablet,Organic
504,332,2024-11-20,8,39.03,Mobile,Paid
505,67,2023-12-16,6,102.25,Tablet,Paid
506,624,2024-03-09,7,41.73,Mobile,Organic
507,447,2025-04-06,3,39.02,Desktop,Referral
508,390,2025-04-22,8,117.67,Tablet,Paid
509,220,2024-11-13,15,38.15,Tablet,Paid
510,654,2024-12-15,8,11.76,Mobile,Organic
511,121,2024-04-06,14,108.57,Mobile,Referral
512,620,2024-12-31,11,32.44,Tablet,Organic
513,841,2025-07-17,2,18.24,Mobile,Organic
514,111,2024-11-21,2,49.18,Tablet,Paid
515,395,2024-01-24,4,68.82,Tablet,Organic
516,248,2024-08-03,13,59.48,Mobile,Organic
517,447,2025-11-18,12,69.95,Mobile,Referral
518,564,2024-09-20,4,82.36,Desktop,Organic
519,776,2024-09-09,3,115.96,Desktop,Organic
520,560,2025-03-16,7,54.47,Desktop,Organic
521,396,2024-10-30,8,102.56,Mobile,Organic
522,563,2025-04-25,1,17.02,Mobile,Organic
523,452,2025-03-26,3,112.81,Mobile,Referral
524,756,2024-09-10,14,46.56,Mobile,Paid
525,230,2024-11-23,15,31.06,Desktop,Referral
526,326,2025-05-24,9,18.79,Mobile,Paid
527,481,2025-11-10,15,62.95,Mobile,Referral
528,649,2025-02-23,7,13.55,Desktop,Organic
529,807,2025-05-01,7,50.51,Desktop,Paid
530,349,2025-10-27,15,101.42,Mobile,Referral
531,869,2024-07-16,4,78.82,Mobile,Referral
532,660,2024-08-30,14,110.47,Mobile,Referral
533,645,2024-12-18,10,115.73,Desktop,Organic
534,186,2024-08-20,1,114.03,Mobile,Organic
535,70,2025-02-13,15,32.99,Mobile,Organic
