marketing_id,customer_id,campaign_name,campaign_type,interaction_date,response,discount_used,engagement_score
48,548,Better Campaign,Email,2023-12-27,Clicked,Yes,9
49,215,Adult Campaign,Push,2024-11-01,Yes,Yes,5
50,155,Artist Campaign,Coupon,2024-09-19,No,No,10
51,238,Want Campaign,Push,2025-01-12,Clicked,Yes,3
52,52,Some Campaign,SMS,2025-01-03,Open,Yes,8
53,983,View Campaign,Coupon,2025-06-13,No,No,3
54,104,Though Campaign,Push,2024-10-19,Yes,No,9
55,347,To Campaign,Push,2024-11-13,Yes,No,6
56,933,Scientist Campaign,Coupon,2024-09-14,Open,Yes,4
57,744,Short Campaign,Push,2024-01-22,Open,Yes,3
58,834,New Campaign,Email,2025-10-04,Clicked,Yes,5
59,162,Provide Campaign,Push,2025-02-07,Clicked,No,5
60,674,Cause Campaign,Push,2024-08-18,Yes,Yes,4
61,498,Collection Campaign,SMS,2025-07-14,Open,No,9
62,17,Red Campaign,Push,2024-12-15,Yes,No,5
63,282,Enough Campaign,Email,2025-10-23,Clicked,Yes,9
64,355,Center Campaign,Email,2024-02-16,No,No,2
65,177,Such Campaign,Push,2024-02-03,Open,Yes,3
66,773,Sister Campaign,Coupon,2024-10-25,Open,Yes,5
67,978,Candidate Campaign,Coupon,2024-07-23,Clicked,No,7
68,692,Interview Campaign,Push,2024-08-31,No,No,5
69,238,North Campaign,Push,2024-10-29,Yes,Yes,2
70,567,Chance Campaign,Email,2024-01-04,Open,Yes,8
71,11,Key Campaign,Push,2024-08-28,Clicked,No,3
72,49,Thank Campaign,SMS,2025-05-02,No,No,8
73,496,Most Campaign,Coupon,2025-03-15,No,Yes,7
74,295,Wish Campaign,Push,2025-08-08,Yes,No,3
75,979,Car Campaign,SMS,2024-09-08,No,Yes,4
76,528,Civil Campaign,SMS,2025-08-28,Yes,Yes,9
77,462,Right Campaign,Email,2024-10-07,No,Yes,1
78,107,Because Campaign,Coupon,2024-05-08,Yes,Yes,3
79,85,Property Campaign,Coupon,2024-07-22,Clicked,Yes,4
80,715,Talk Campaign,Push,2024-06-10,No,No,7
81,675,Money Campaign,Email,2025-11-18,Clicked,No,9
82,273,Heart Campaign,Push,2025-07-04,Clicked,No,9
83,677,Without Campaign,Coupon,2024-02-07,Yes,Yes,4
84,707,Pull Campaign,Email,2024-12-25,No,Yes,1
85,502,Interest Campaign,Email,2024-01-06,Clicked,No,7
86,227,Conference Campaign,SMS,2025-11-10,Clicked,Yes,8
87,55,Rate Campaign,Email,2025-03-30,No,Yes,4
88,219,Station Campaign,Coupon,2025-04-22,Yes,Yes,6
89,857,I Campaign,Coupon,2024-11-04,Clicked,No,7
90,523,Thing Campaign,Coupon,2024-05-10,Clicked,Yes,3
91,567,Present Campaign,SMS,2025-03-01,Clicked,Yes,3
92,352,Outside Campaign,Email,2025-11-22,Open,No,1
93,456,Start Campaign,Email,2024-03-22,Clicked,Yes,5
94,825,I Campaign,SMS,2023-12-12,No,No,10
95,511,Child Campaign,Email,2025-06-11,No,No,9
96,346,Allow Campaign,Coupon,2023-12-25,Clicked,No,9
97,139,Newspaper Campaign,SMS,2024-03-13,Clicked,No,4
98,496,Daughter Campaign,Coupon,2024-08-27,Yes,Yes,8
99,629,Program Campaign,Email,2025-01-14,No,Yes,5
100,150,Experience Campaign,SMS,2025-09-08,Clicked,Yes,8
101,903,Model Campaign,Push,2024-08-24,Open,Yes,2
102,383,Page Campaign,SMS,2024-10-27,No,Yes,3
103,265,Successful Campaign,SMS,2024-08-13,No,Yes,3
104,602,Work Campaign,SMS,2025-07-11,Yes,No,8
105,920,Section Campaign,Push,2025-08-05,Open,Yes,1
106,978,Before Campaign,Coupon,2024-05-14,No,Yes,5
107,191,Skill Campaign,Email,2024-06-03,Open,No,8
108,929,About Campaign,Push,2025-07-20,No,No,9
109,666,Activity Campaign,Email,2024-11-28,Open,Yes,2
110,384,Hair Campaign,SMS,2025-05-29,Yes,No,2
111,572,Outside Campaign,Coupon,2024-12-04,Clicked,Yes,7
112,18,Drug Campaign,Coupon,2024-12-08,No,Yes,3
113,625,Chair Campaign,Email,2025-08-08,Open,No,5
114,662,Recently Campaign,Email,2024-06-04,Yes,No,7
115,424,Successful Campaign,SMS,2023-12-14,Open,Yes,7
116,650,Protect Campaign,Coupon,2025-05-08,Yes,Yes,6
117,410,Property Campaign,Coupon,2024-05-03,Yes,Yes,1
118,965,Win Campaign,Push,2024-02-15,Open,No,9
119,968,Write Campaign,SMS,2024-09-19,Clicked,No,4
120,978,Your Campaign,SMS,2024-12-18,Yes,Yes,7
121,261,Property Campaign,Coupon,2025-05-17,Yes,Yes,2
122,1000,He Campaign,SMS,2025-02-04,Yes,Yes,1
123,892,Mind Campaign,Push,2024-12-07,Clicked,No,4
124,164,Carry Campaign,SMS,2024-02-22,Yes,Yes,1
125,204,Soon Campaign,Push,2025-03-03,Clicked,No,10
126,139,Cause Campaign,Push,2025-07-29,Clicked,Yes,7
127,806,Ok Campaign,Coupon,2024-04-02,Open,Yes,9
128,974,Product Campaign,Email,2025-09-12,Open,Yes,1
129,196,Lose Campaign,Email,2024-10-17,No,No,3
130,413,Appear Campaign,SMS,2024-02-21,Open,Yes,1
131,343,Score Campaign,Push,2024-09-13,Yes,Yes,1
132,288,Defense Campaign,SMS,2024-07-06,Open,No,8
133,18,Coach Campaign,Email,2025-01-28,No,No,8
134,554,Child Campaign,Coupon,2024-12-07,Yes,No,3
135,612,Allow Campaign,Coupon,2025-05-05,Clicked,No,3
136,932,Any Campaign,Coupon,2024-03-28,Open,No,4
137,220,Quite Campaign,SMS,2023-12-09,Yes,No,6
138,263,Recent Campaign,Push,2025-09-21,Open,Yes,10
139,15,Major Campaign,Coupon,2024-02-18,Clicked,No,1
140,803,While Campaign,Coupon,2024-03-20,Yes,Yes,1
141,320,Through Campaign,Push,2024-06-20,Clicked,Yes,10
142,903,Example Campaign,Coupon,2025-04-29,Yes,No,9
143,976,Operation Campaign,SMS,2024-01-13,Yes,No,5
144,199,Group Campaign,Push,2024-03-16,Clicked,No,4
145,305,Power Campaign,Push,2024-09-16,Open,No,1
146,732,Minute Campaign,SMS,2025-08-26,Open,Yes,8
147,834,Simple Campaign,SMS,2024-07-12,Open,Yes,3
148,60,Career Campaign,Coupon,2024-08-17,Yes,Yes,10
149,979,Environmental Campaign,Push,2024-08-05,Yes,No,5
150,606,Support Campaign,Email,2023-12-18,No,Yes,4
151,969,Cut Campaign,Push,2025-04-24,Open,No,4
152,769,Only Campaign,SMS,2024-01-13,No,Yes,8
153,48,Major Campaign,Push,2024-08-21,No,No,3
154,486,Wrong Campaign,Push,2024-07-16,No,Yes,10
155,20,Can Campaign,SMS,2025-03-02,No,No,2
156,627,Check Campaign,Push,2023-12-24,No,Yes,10
157,818,Poor Campaign,Coupon,2024-12-28,Yes,No,1
158,530,Hard Campaign,Coupon,2025-06-30,Yes,No,5
159,624,Behavior Campaign,Email,2025-06-11,No,Yes,5
160,745,Find Campaign,Email,2023-12-28,No,No,4
161,503,Good Campaign,Email,2025-04-30,Yes,No,6
162,341,Cultural Campaign,SMS,2025-02-09,Yes,No,5
163,890,Wear Campaign,Email,2025-02-27,Clicked,Yes,2
164,310,Series Campaign,Push,2025-11-12,Yes,No,5
165,484,Talk Campaign,Push,2025-01-30,No,Yes,7
166,53,Another Campaign,Push,2025-09-14,Open,No,8
167,804,Glass Campaign,Push,2024-05-10,Open,No,6
168,895,Research Campaign,Push,2025-02-13,Open,Yes,5
169,270,Music Campaign,SMS,2025-09-17,No,Yes,2
170,868,Usually Campaign,SMS,2024-12-19,Open,No,10
171,878,Wish Campaign,Coupon,2024-10-06,No,No,5
172,503,Suggest Campaign,Email,2025-04-03,Open,No,5
173,274,Quality Campaign,Email,2024-11-19,Yes,No,4
174,184,Agency Campaign,Email,2024-06-01,Open,No,5
175,883,Seat Campaign,Coupon,2025-01-07,Open,No,5
176,807,Wonder Campaign,Push,2024-12-30,Clicked,Yes,9
177,515,Choice Campaign,SMS,2024-12-05,Yes,Yes,9
178,556,White Campaign,Email,2024-03-13,Clicked,No,3
179,205,Program Campaign,Email,2024-07-27,Clicked,No,8
180,259,Yourself Campaign,Push,2024-09-18,Open,Yes,4
181,901,Name Campaign,SMS,2024-02-13,Open,Yes,9
182,689,Instead Campaign,Coupon,2024-09-29,No,Yes,8
183,370,Admit Campaign,Push,2024-05-14,Clicked,No,3
184,279,Sure Campaign,Coupon,2023-12-10,Clicked,Yes,7
185,646,Husband Campaign,SMS,2024-05-05,Open,Yes,6
186,252,Animal Campaign,Coupon,2025-08-11,Yes,No,6
187,716,Field Campaign,Push,2025-08-07,No,Yes,3
188,47,Old Campaign,SMS,2025-07-21,No,No,8
189,850,Air Campaign,Email,2024-07-06,Yes,Yes,8
190,592,Consumer Campaign,Coupon,2024-06-10,Yes,Yes,1
191,42,Strong Campaign,SMS,2025-01-11,No,Yes,3
192,526,Worry Campaign,SMS,2024-05-18,No,No,8
193,803,Theory Campaign,SMS,2025-07-21,No,Yes,10
194,731,Court Campaign,Coupon,2025-05-04,Open,Yes,4
195,16,Everybody Campaign,Push,2024-01-15,Clicked,Yes,4
196,620,Add Campaign,Email,2023-12-21,Clicked,No,7
197,284,Kid Campaign,Push,2023-12-23,Yes,No,9
198,135,Stay Campaign,Push,2025-02-22,Yes,No,6
199,7,Her Campaign,Coupon,2024-01-30,Clicked,No,1
200,480,Throw Campaign,Coupon,2024-07-13,Clicked,No,1
201,259,First Campaign,Email,2024-05-21,Open,Yes,8
202,511,Various Campaign,Coupon,2024-07-30,Open,No,7
203,302,Me Campaign,SMS,2024-03-31,No,No,5
204,476,Everyone Campaign,Coupon,2025-03-21,Clicked,Yes,3
205,406,Little Campaign,SMS,2024-07-25,Yes,No,7
206,318,Summer Campaign,SMS,2025-03-24,No,No,6
207,263,Inside Campaign,Coupon,2025-11-26,No,Yes,3
208,478,Room Campaign,Coupon,2024-05-23,Clicked,Yes,1
209,249,Policy Campaign,Push,2023-12-13,Clicked,Yes,10
210,185,Growth Campaign,Coupon,2024-12-15,No,No,3
211,997,Analysis Campaign,Push,2025-05-20,Open,Yes,1
212,516,Serious Campaign,Email,2025-06-06,Open,Yes,6
213,573,Particularly Campaign,Coupon,2024-07-02,Yes,No,5
214,683,Agency Campaign,SMS,2024-02-20,Clicked,No,8
215,93,Even Campaign,Email,2024-11-03,Clicked,No,7
216,663,Truth Campaign,Coupon,2025-02-13,No,No,2
217,855,Because Campaign,Push,2025-02-11,Open,No,10
218,658,Protect Campaign,Push,2025-04-13,Yes,No,7
219,484,Morning Campaign,SMS,2024-10-15,No,No,9
220,168,Shoulder Campaign,Email,2024-07-30,Open,Yes,8
221,602,Pattern Campaign,Coupon,2024-06-27,Yes,Yes,5
222,105,Mouth Campaign,SMS,2024-10-16,Open,Yes,6
223,237,Give Campaign,Email,2025-07-08,Clicked,No,10
224,51,Least Campaign,Coupon,2024-09-25,No,No,6
225,42,Including Campaign,Push,2024-03-27,No,No,5
226,811,Rise Campaign,SMS,2024-12-31,No,No,7
227,249,Event Campaign,SMS,2025-03-24,Open,No,9
228,880,Democratic Campaign,Coupon,2024-12-19,Open,No,7
229,193,Also Campaign,Email,2025-05-21,No,No,1
230,338,Between Campaign,Email,2024-04-29,No,No,6
231,497,Wear Campaign,Push,2024-09-04,No,No,10
232,579,Improve Campaign,SMS,2024-02-15,Clicked,No,2
233,477,Girl Campaign,Push,2025-01-08,No,No,1
234,643,Product Campaign,SMS,2025-03-14,Yes,No,2
235,335,Thought Campaign,Coupon,2025-08-11,Open,Yes,3
236,326,Health Campaign,SMS,2024-09-18,No,No,9
237,581,Lawyer Campaign,SMS,2024-03-30,Yes,Yes,2
238,72,Support Campaign,SMS,2024-03-21,Open,Yes,8
239,48,Center Campaign,Email,2024-08-17,Yes,No,5
240,65,Discussion Campaign,Push,2024-03-29,Yes,Yes,5
241,76,Myself Campaign,Email,2024-11-15,Clicked,Yes,2
242,5,Operation Campaign,Coupon,2025-07-26,Open,No,9
243,68,Million Campaign,Email,2024-08-10,No,No,6
244,954,Nice Campaign,SMS,2025-04-03,Clicked,No,8
245,506,Movie Campaign,SMS,2024-10-08,No,No,3
246,253,With Campaign,Email,2024-01-12,Yes,No,8
247,56,Mrs Campaign,Push,2023-12-03,No,No,2
248,645,Level Campaign,SMS,2024-04-06,Clicked,No,8
249,59,Should Campaign,Push,2024-03-07,Clicked,No,1
250,496,Up Campaign,Email,2024-06-11,Clicked,No,1
251,598,I Campaign,Email,2023-12-29,Yes,Yes,9
252,527,Hand Campaign,Push,2024-03-09,Open,Yes,6
253,730,Large Campaign,Email,2024-05-22,Clicked,No,10
254,899,Same Campaign,Push,2025-10-26,Open,No,2
255,525,Which Campaign,SMS,2024-07-09,No,No,8
256,374,Positive Campaign,Coupon,2023-12-30,Clicked,Yes,4
257,281,Price Campaign,Coupon,2024-09-14,No,Yes,7
258,579,Themselves Campaign,Push,2024-09-21,Yes,No,3
259,270,Economy Campaign,SMS,2025-06-29,No,Yes,10
260,48,Back Campaign,Push,2024-11-27,No,Yes,10
261,413,Describe Campaign,Push,2024-11-14,No,No,2
262,160,Improve Campaign,Push,2025-09-22,Open,Yes,6
263,230,Reason Campaign,Email,2025-09-18,Clicked,Yes,8
264,841,Area Campaign,Email,2024-02-17,Open,Yes,8
265,238,Keep Campaign,Coupon,2024-04-21,Yes,Yes,1
266,72,Radio Campaign,Push,2024-09-04,Clicked,Yes,2
267,117,Career Campaign,Email,2024-01-30,Yes,No,5
268,46,Value Campaign,Email,2025-04-25,Open,Yes,8
269,254,Within Campaign,Coupon,2024-09-11,No,No,3
270,681,Certainly Campaign,Email,2025-01-05,Open,No,4
271,310,Threat Campaign,SMS,2025-02-09,Clicked,Yes,4
272,148,Perhaps Campaign,Coupon,2025-06-24,Yes,No,5
273,800,Agency Campaign,Push,2024-01-02,No,No,1
274,325,Usually Campaign,Push,2025-09-01,Open,Yes,10
275,557,Behavior Campaign,SMS,2024-06-20,Yes,No,10
276,880,Billion Campaign,Coupon,2024-02-17,No,No,9
277,661,Successful Campaign,Email,2025-11-15,Clicked,No,1
278,818,Short Campaign,Push,2025-01-04,Clicked,Yes,4
279,233,Trip Campaign,Push,2025-09-20,Open,Yes,3
280,850,Daughter Campaign,SMS,2025-04-01,Clicked,Yes,3
281,258,Only Campaign,SMS,2024-04-06,Open,Yes,2
282,503,Idea Campaign,SMS,2025-07-21,Clicked,Yes,9
283,513,Act Campaign,Coupon,2025-09-29,Open,No,9
284,237,Win Campaign,Push,2024-12-27,Clicked,No,9
285,587,Far Campaign,SMS,2025-10-15,Clicked,Yes,8
286,756,Meet Campaign,Coupon,2025-11-04,No,Yes,2
287,137,Then Campaign,Push,2023-12-09,Yes,No,7
288,987,Perform Campaign,Coupon,2024-08-17,Yes,No,7
289,685,Factor Campaign,Email,2024-01-22,Open,Yes,2
290,397,Reduce Campaign,Coupon,2024-10-15,Clicked,No,4
291,570,Some Campaign,SMS,2024-10-07,Open,No,5
292,188,Likely Campaign,Email,2024-10-30,Clicked,No,8
293,550,Weight Campaign,Coupon,2024-01-02,Yes,Yes,7
294,727,Us Campaign,Push,2025-06-03,No,Yes,1
295,11,Base Campaign,Coupon,2025-01-24,No,Yes,7
296,432,Some Campaign,Push,2025-08-13,Clicked,No,4
297,992,Participant Campaign,SMS,2024-02-27,Open,Yes,3
298,965,Power Campaign,Email,2025-09-20,No,No,6
299,101,Administration Campaign,SMS,2024-04-17,Yes,Yes,4
300,21,Difficult Campaign,Push,2024-05-16,Yes,Yes,8
301,410,Mr Campaign,Coupon,2025-02-21,Open,Yes,9
302,645,Adult Campaign,SMS,2024-03-07,Open,Yes,8
303,753,Despite Campaign,Push,2024-12-12,Open,Yes,9
304,805,Girl Campaign,Coupon,2025-01-12,Clicked,No,3
305,122,Campaign Campaign,Coupon,2025-02-01,Open,No,6
306,43,Soon Campaign,SMS,2024-07-15,No,Yes,3
307,581,Set Campaign,SMS,2025-07-21,Yes,Yes,5
308,693,Show Campaign,Coupon,2024-06-30,Open,No,9
309,793,Establish Campaign,Coupon,2024-12-11,Yes,No,6
310,667,Tough Campaign,Push,2025-04-06,Yes,Yes,5
311,286,Near Campaign,Push,2025-03-21,Yes,No,7
312,994,Peace Campaign,Coupon,2023-12-26,No,No,6
313,376,Subject Campaign,Push,2025-02-25,Open,No,5
314,124,Southern Campaign,Email,2025-02-04,Open,Yes,7
315,348,Future Campaign,SMS,2024-09-21,Open,Yes,7
316,845,Show Campaign,Coupon,2025-08-12,Open,Yes,10
317,90,Else Campaign,SMS,2024-04-28,Yes,Yes,1
318,662,Opportunity Campaign,SMS,2024-10-18,Clicked,Yes,4
319,199,Concern Campaign,SMS,2024-02-02,Open,No,5
320,929,Serious Campaign,Coupon,2024-08-09,Clicked,Yes,6
321,920,Over Campaign,SMS,2024-03-18,No,No,1
322,442,Figure Campaign,SMS,2024-12-01,Open,Yes,8
323,462,Foot Campaign,Email,2024-09-28,Clicked,No,6
324,868,Back Campaign,Push,2025-03-18,No,No,7
325,157,Perform Campaign,SMS,2024-08-06,Open,No,9
326,676,Seek Campaign,Email,2025-09-04,Yes,Yes,3
327,200,Some Campaign,SMS,2025-01-31,Open,Yes,1
328,815,Campaign Campaign,SMS,2025-08-20,No,Yes,9
329,952,Event Campaign,Email,2025-08-21,Clicked,Yes,7
330,697,Machine Campaign,SMS,2025-09-24,Open,No,5
331,796,Table Campaign,Coupon,2025-09-26,Clicked,Yes,1
332,569,Order Campaign,SMS,2024-07-05,Open,Yes,2
333,562,Side Campaign,Email,2024-07-22,Yes,Yes,10
334,591,Anyone Campaign,SMS,2024-07-22,No,No,5
335,182,High Campaign,Push,2024-03-29,Clicked,No,7
336,616,Early Campaign,Coupon,2023-12-11,Yes,Yes,7
337,754,Foot Campaign,Push,2024-03-21,No,No,8
338,444,Let Campaign,Email,2024-04-02,Open,No,3
339,129,Career Campaign,SMS,2025-08-11,Clicked,No,2
340,91,Option Campaign,Coupon,2024-06-18,Clicked,No,9
341,713,Education Campaign,Push,2025-05-22,Yes,Yes,2
342,789,Per Campaign,Push,2025-02-03,Open,Yes,9
343,704,Her Campaign,Push,2024-03-24,Yes,No,10
344,86,Us Campaign,SMS,2024-06-12,No,No,9
345,693,Better Campaign,Push,2025-01-19,No,No,3
346,367,Simply Campaign,Email,2025-01-25,Clicked,No,7
347,11,Issue Campaign,Email,2025-09-09,Open,No,1
348,32,Matter Campaign,Email,2024-09-30,Yes,No,4
349,946,Dinner Campaign,Push,2024-04-26,Yes,No,8
350,742,Purpose Campaign,Coupon,2025-06-14,Clicked,Yes,3
351,894,Arrive Campaign,Coupon,2024-01-23,Yes,Yes,6
352,368,Ten Campaign,Email,2024-06-06,No,No,4
353,291,Organization Campaign,SMS,2025-10-04,No,Yes,10
354,851,Glass Campaign,Email,2024-11-22,Yes,No,8
355,606,Shoulder Campaign,SMS,2024-05-30,Yes,Yes,5
356,94,Do Campaign,Coupon,2024-11-22,Clicked,Yes,4
357,978,Card Campaign,Email,2024-01-28,No,Yes,6
358,290,Really Campaign,SMS,2024-07-20,Open,Yes,4
359,650,Show Campaign,SMS,2024-09-10,Open,No,6
360,456,Indeed Campaign,SMS,2024-01-01,No,Yes,6
361,407,Minute Campaign,Coupon,2024-05-23,No,No,9
362,625,Across Campaign,Email,2024-01-26,Open,Yes,2
363,297,System Campaign,Push,2025-09-10,Open,No,5
364,484,Only Campaign,Coupon,2025-09-09,Clicked,Yes,9
365,240,Especially Campaign,Email,2025-10-06,Clicked,No,10
366,640,Treatment Campaign,Coupon,2024-02-23,Clicked,Yes,2
367,688,Mrs Campaign,Coupon,2025-11-08,Clicked,No,6
368,564,Song Campaign,SMS,2025-01-17,Yes,No,6
369,616,Nation Campaign,Push,2023-12-24,Clicked,Yes,4
370,306,International Campaign,Email,2025-05-23,Clicked,Yes,7
371,275,Teacher Campaign,Coupon,2024-03-27,Clicked,No,7
372,314,Produce Campaign,Push,2024-09-20,No,No,7
373,828,Newspaper Campaign,Email,2025-05-10,Clicked,Yes,6
374,315,Smile Campaign,Email,2024-09-20,Yes,Yes,6
375,300,Speech Campaign,SMS,2025-04-03,No,Yes,4
376,924,Job Campaign,SMS,2025-02-28,No,No,6
377,346,They Campaign,Push,2025-08-21,Clicked,Yes,6
378,347,Successful Campaign,SMS,2024-03-03,No,Yes,2
379,732,Glass Campaign,Email,2025-11-13,Clicked,Yes,7
380,997,Husband Campaign,Email,2024-06-21,Yes,No,3
381,100,Risk Campaign,SMS,2025-08-03,Open,Yes,4
382,814,Recent Campaign,Email,2024-03-03,No,Yes,8
383,754,Church Campaign,Coupon,2025-03-13,Clicked,Yes,4
384,469,Personal Campaign,Email,2025-07-14,Yes,No,7
385,52,Vote Campaign,Coupon,2024-06-10,Clicked,Yes,7
386,897,Compare Campaign,Coupon,2025-05-03,Open,No,3
387,117,Hold Campaign,Coupon,2025-02-17,Clicked,No,10
388,440,Staff Campaign,Coupon,2024-10-12,No,Yes,6
389,688,Record Campaign,Coupon,2023-12-04,Yes,Yes,8
390,204,Wrong Campaign,Push,2024-09-22,Yes,Yes,3
391,714,Recognize Campaign,Email,2024-02-04,Clicked,No,10
392,841,Nor Campaign,Email,2023-12-19,Clicked,No,3
393,769,Record Campaign,Email,2024-06-21,Yes,Yes,9
394,236,Cultural Campaign,SMS,2024-11-16,Clicked,No,3
395,864,Turn Campaign,SMS,2025-11-21,No,Yes,5
396,963,Various Campaign,SMS,2025-07-29,Clicked,Yes,3
397,163,Cold Campaign,SMS,2025-08-03,Open,Yes,4
398,516,Never Campaign,Push,2024-02-09,No,Yes,2
399,411,Western Campaign,SMS,2025-10-08,Clicked,Yes,5
400,98,Community Campaign,Coupon,2024-12-23,Yes,Yes,2
401,329,Series Campaign,SMS,2025-02-13,Yes,Yes,3
402,1000,Not Campaign,Push,2025-09-07,Open,No,2
403,711,Wear Campaign,Coupon,2025-06-30,No,No,6
404,480,Ability Campaign,Push,2024-03-05,Clicked,Yes,8
405,350,Soon Campaign,Email,2025-09-05,Open,Yes,9
406,215,South Campaign,Push,2024-02-17,No,Yes,9
407,274,Bring Campaign,SMS,2025-08-23,No,No,3
408,420,New Campaign,Coupon,2025-02-22,No,No,9
409,484,Discover Campaign,Email,2025-08-15,No,No,2
410,461,Class Campaign,SMS,2025-08-12,No,Yes,7
411,636,Else Campaign,Email,2025-03-22,Clicked,No,3
412,379,Hour Campaign,Coupon,2024-03-06,Open,Yes,7
413,201,Determine Campaign,SMS,2025-06-21,Clicked,Yes,5
414,456,Analysis Campaign,SMS,2024-07-31,Open,Yes,1
415,406,Leave Campaign,Email,2025-09-17,Clicked,No,2
416,487,Water Campaign,SMS,2024-09-18,Open,Yes,5
417,294,Mrs Campaign,SMS,2025-04-23,No,No,3
418,756,My Campaign,Coupon,2025-05-08,Open,No,3
419,649,Gun Campaign,Push,2025-03-09,No,Yes,7
420,674,Late Campaign,Email,2024-03-20,Open,Yes,9
421,616,North Campaign,Push,2025-10-20,Clicked,Yes,6
422,228,Short Campaign,Push,2024-07-22,Clicked,Yes,4
423,323,Fire Campaign,Push,2025-06-16,Open,No,10
424,595,Responsibility Campaign,SMS,2024-12-11,Open,Yes,10
425,963,Year Campaign,Push,2024-10-12,Yes,No,8
426,458,Theory Campaign,Push,2025-02-07,Yes,No,1
427,289,Knowledge Campaign,Push,2025-01-31,Clicked,Yes,2
428,777,Memory Campaign,Push,2025-05-02,Open,No,2
429,464,What Campaign,SMS,2025-07-25,Open,Yes,8
430,364,It Campaign,Email,2024-05-12,Open,Yes,7
431,997,Purpose Campaign,Push,2024-07-11,No,No,6
432,877,Mission Campaign,Push,2024-01-18,Clicked,No,3
433,921,Morning Campaign,Push,2024-01-04,Yes,Yes,4
434,313,Affect Campaign,SMS,2024-05-19,Yes,No,7
435,844,Popular Campaign,Push,2024-06-20,No,No,4
436,749,Inside Campaign,Email,2024-01-29,Yes,No,10
437,587,Family Campaign,Push,2024-07-05,Open,Yes,5
438,887,Game Campaign,SMS,2024-02-10,Open,No,6
439,876,Suddenly Campaign,SMS,2024-05-01,Clicked,No,7
440,630,Ok Campaign,SMS,2025-07-08,No,Yes,5
441,470,Discuss Campaign,Email,2024-01-23,No,Yes,9
442,353,Media Campaign,Email,2025-01-03,Open,No,6
443,968,Exist Campaign,Coupon,2024-02-18,Clicked,Yes,3
444,822,Similar Campaign,Coupon,2024-02-24,No,Yes,6
445,92,Fast Campaign,SMS,2025-09-26,No,No,4
446,821,Paper Campaign,Email,2025-09-24,Yes,Yes,3
447,869,Gas Campaign,Coupon,2025-02-08,Yes,Yes,10
448,881,Then Campaign,Push,2025-04-05,No,Yes,3
449,948,Paper Campaign,Push,2024-02-18,Clicked,No,6
450,141,May Campaign,Email,2024-07-29,Yes,Yes,10
