transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,payment_method,channel
37,845,129,2025-02-17,1,475.6,475.6,Cash,Store
38,578,15,2024-11-11,5,177.39,886.9499999999999,Cash,Store
39,243,183,2024-06-24,5,479.48,2397.4,Bank Transfer,Store
40,551,67,2024-07-31,4,29.99,119.96,PayPal,Online
41,741,15,2025-03-06,4,196.77,787.08,Bank Transfer,Store
42,327,143,2024-12-11,5,227.89,1139.4499999999998,Cash,Online
43,935,150,2025-04-14,5,175.07,875.3499999999999,Bank Transfer,Online
44,931,29,2025-02-27,3,98.14,294.42,Cash,Store
45,597,115,2024-05-10,2,5.25,10.5,Bank Transfer,Store
46,857,46,2024-02-19,2,17.56,35.12,Bank Transfer,Online
47,555,85,2025-01-09,1,420.97,420.97,Cash,Online
48,424,193,2025-11-17,5,175.92,879.5999999999999,PayPal,Store
49,203,102,2024-05-17,4,355.09,1420.36,PayPal,Store
50,726,77,2025-02-27,5,127.71,638.55,PayPal,Store
51,745,21,2025-05-25,2,494.22,988.44,Cash,Store
52,570,117,2025-07-20,3,438.41,1315.23,Bank Transfer,Online
53,428,133,2025-02-15,2,275.61,551.22,Cash,Store
54,594,147,2025-05-10,1,258.46,258.46,PayPal,Store
55,303,118,2024-12-10,2,247.47,494.94,Credit Card,Store
56,55,33,2025-07-03,1,388.05,388.05,Cash,Online
57,483,25,2025-02-18,4,439.18,1756.72,PayPal,Online
58,963,153,2025-09-11,2,305.88,611.76,Cash,Store
59,884,2,2025-01-23,5,251.31,1256.55,PayPal,Online
60,377,43,2025-06-01,4,93.48,373.92,Cash,Online
61,629,155,2024-07-02,1,164.0,164.0,PayPal,Store
62,171,78,2025-09-14,5,360.59,1802.9499999999998,PayPal,Online
63,348,179,2025-03-08,5,109.31,546.55,Cash,Store
64,825,152,2025-08-04,1,180.37,180.37,Credit Card,Store
65,943,4,2024-01-29,3,100.66,301.98,PayPal,Store
66,265,167,2024-06-17,2,270.3,540.6,Bank Transfer,Online
67,192,54,2025-03-09,1,313.67,313.67,Bank Transfer,Store
68,947,109,2025-11-08,4,425.51,1702.04,PayPal,Online
69,595,196,2025-05-31,3,128.27,384.81000000000006,Bank Transfer,Store
70,977,191,2024-12-27,2,232.86,465.72,PayPal,Store
71,992,179,2024-10-26,5,93.78,468.9,Bank Transfer,Online
72,333,75,2023-12-26,5,74.27,371.34999999999997,Credit Card,Online
73,434,83,2025-03-01,5,150.65,753.25,Bank Transfer,Store
74,883,32,2025-06-26,1,306.71,306.71,Credit Card,Online
75,86,162,2025-03-25,3,68.66,205.98,Cash,Online
76,192,157,2025-10-20,2,145.36,290.72,Cash,Online
77,614,71,2024-07-31,4,407.25,1629.0,Bank Transfer,Store
78,82,183,2025-08-23,3,63.92,191.76,Credit Card,Store
79,558,13,2024-07-30,3,58.99,176.97,Cash,Store
80,234,39,2023-12-11,1,64.09,64.09,PayPal,Store
81,254,100,2025-10-03,3,198.41,595.23,Credit Card,Online
82,441,75,2024-07-06,1,71.74,71.74,Cash,Store
83,328,180,2025-03-07,4,100.61,402.44,Credit Card,Store
84,92,90,2025-05-28,1,165.16,165.16,Bank Transfer,Online
85,837,127,2025-08-12,2,78.98,157.96,PayPal,Online
86,137,30,2025-04-27,3,423.56,1270.68,Credit Card,Store
87,780,191,2024-05-09,5,498.58,2492.9,Credit Card,Store
88,797,169,2024-03-20,5,48.23,241.14999999999998,Credit Card,Store
89,257,170,2025-08-30,3,9.12,27.36,Credit Card,Store
90,606,159,2024-10-18,1,314.28,314.28,Credit Card,Store
91,727,160,2025-07-24,5,13.97,69.85000000000001,PayPal,Store
92,870,68,2025-10-07,5,97.85,489.25,Bank Transfer,Store
93,772,85,2024-11-03,3,171.12,513.36,PayPal,Store
94,394,99,2024-07-17,5,403.41,2017.0500000000002,Credit Card,Online
95,735,193,2024-05-16,3,325.93,977.79,Credit Card,Store
96,991,192,2024-03-08,4,480.58,1922.32,Bank Transfer,Online
97,720,66,2024-03-11,3,436.19,1308.57,Bank Transfer,Online
98,370,13,2025-06-30,4,184.65,738.6,Bank Transfer,Online
99,365,34,2024-05-20,4,63.42,253.68,PayPal,Online
100,150,85,2025-03-02,1,412.88,412.88,PayPal,Store
101,387,90,2024-06-16,1,172.17,172.17,Bank Transfer,Store
102,223,28,2025-10-23,4,28.38,113.52,PayPal,Store
103,611,56,2024-09-20,3,331.89,995.67,Credit Card,Online
104,335,88,2024-02-16,1,406.47,406.47,Bank Transfer,Store
105,62,185,2024-03-10,5,67.13,335.65,Credit Card,Store
106,943,136,2024-02-16,5,210.31,1051.55,Credit Card,Online
107,760,185,2024-03-30,5,232.02,1160.1000000000001,Bank Transfer,Online
108,847,116,2025-06-10,1,6.12,6.12,Bank Transfer,Online
109,903,141,2025-01-28,5,119.95,599.75,Bank Transfer,Store
110,592,197,2025-02-26,4,332.19,1328.76,Credit Card,Store
111,872,62,2025-05-29,1,210.69,210.69,Credit Card,Online
112,48,174,2025-11-24,5,389.3,1946.5,Bank Transfer,Online
113,714,185,2025-10-13,3,452.88,1358.6399999999999,Cash,Store
114,941,142,2025-01-17,5,459.69,2298.45,PayPal,Store
115,187,174,2025-08-16,1,226.22,226.22,PayPal,Online
116,260,28,2025-04-18,5,369.63,1848.15,Cash,Online
117,876,61,2024-01-26,5,308.11,1540.5500000000002,Bank Transfer,Online
118,721,40,2025-04-26,1,110.32,110.32,Bank Transfer,Online
119,507,77,2025-10-03,5,43.86,219.3,Bank Transfer,Store
120,804,97,2025-11-05,5,411.29,2056.4500000000003,PayPal,Store
121,321,26,2024-02-19,5,124.36,621.8,Bank Transfer,Online
122,705,12,2024-08-11,1,48.84,48.84,Bank Transfer,Store
123,190,178,2025-03-22,3,499.0,1497.0,PayPal,Online
124,352,128,2024-07-10,4,195.59,782.36,Credit Card,Online
125,390,66,2025-02-08,3,468.48,1405.44,Bank Transfer,Online
126,100,167,2025-11-23,3,250.99,752.97,Bank Transfer,Online
127,875,196,2024-08-19,4,495.01,1980.04,Cash,Store
128,11,44,2024-05-25,1,177.19,177.19,PayPal,Store
129,809,151,2024-06-12,3,79.32,237.95999999999998,Credit Card,Store
130,892,170,2023-12-12,4,82.95,331.8,PayPal,Online
131,684,46,2023-12-03,3,54.77,164.31,Credit Card,Online
132,719,144,2025-05-26,5,79.93,399.65000000000003,Bank Transfer,Online
133,843,127,2024-01-25,4,285.88,1143.52,PayPal,Online
134,131,126,2024-04-19,5,167.75,838.75,Cash,Store
135,92,91,2025-05-15,4,262.89,1051.56,PayPal,Store
136,842,91,2024-11-13,1,111.48,111.48,Bank Transfer,Store
137,181,146,2024-11-03,1,315.05,315.05,PayPal,Online
138,904,28,2025-06-27,4,324.13,1296.52,PayPal,Online
139,991,64,2025-05-25,5,240.83,1204.15,Cash,Store
140,898,123,2025-11-12,1,182.04,182.04,Credit Card,Store
141,817,87,2025-10-10,5,155.52,777.6,Cash,Store
142,548,48,2024-04-04,5,221.26,1106.3,Bank Transfer,Store
143,433,48,2024-03-15,3,5.49,16.47,Bank Transfer,Online
144,330,148,2025-11-05,5,375.15,1875.75,Cash,Online
145,703,84,2024-04-27,1,154.73,154.73,PayPal,Online
146,327,113,2025-08-25,3,476.12,1428.3600000000001,PayPal,Online
147,377,136,2025-03-03,4,277.05,1108.2,PayPal,Store
148,596,7,2025-01-15,5,152.97,764.85,Credit Card,Online
149,663,85,2025-05-29,4,146.43,585.72,PayPal,Store
150,217,61,2025-11-10,1,459.61,459.61,Credit Card,Store
151,193,119,2024-07-23,4,343.95,1375.8,Cash,Store
152,58,103,2025-11-28,1,99.96,99.96,PayPal,Store
153,154,56,2024-12-20,3,248.02,744.0600000000001,PayPal,Store
154,910,81,2024-07-20,4,268.77,1075.08,Credit Card,Store
155,824,124,2024-04-12,4,395.9,1583.6,Credit Card,Store
156,143,170,2025-09-02,5,397.03,1985.1499999999999,Cash,Store
157,563,65,2025-10-20,2,147.88,295.76,Bank Transfer,Online
158,609,174,2025-11-20,3,372.56,1117.68,Bank Transfer,Online
159,454,164,2025-04-07,4,6.07,24.28,Credit Card,Online
160,357,77,2024-04-03,3,97.2,291.6,Cash,Store
161,325,25,2024-08-20,3,280.53,841.5899999999999,Credit Card,Online
162,968,140,2024-10-03,1,227.43,227.43,Cash,Store
163,903,149,2025-06-07,2,498.27,996.54,Cash,Store
164,237,116,2024-11-22,3,99.74,299.21999999999997,Credit Card,Online
165,549,133,2025-07-01,5,489.81,2449.05,Bank Transfer,Online
166,746,85,2024-12-25,2,262.0,524.0,Credit Card,Online
167,552,187,2025-05-23,5,447.48,2237.4,Credit Card,Online
168,763,37,2024-12-15,2,228.98,457.96,Bank Transfer,Online
169,888,101,2024-01-18,2,327.78,655.56,Bank Transfer,Online
170,10,29,2025-09-18,3,399.11,1197.33,Cash,Store
171,639,50,2025-01-01,2,354.52,709.04,Cash,Store
172,683,141,2025-07-23,2,164.52,329.04,PayPal,Store
173,996,190,2024-12-23,1,256.62,256.62,Bank Transfer,Store
174,380,161,2025-01-11,4,283.43,1133.72,PayPal,Store
175,6,21,2024-03-18,2,10.13,20.26,Bank Transfer,Store
176,179,129,2025-11-05,5,108.18,540.9000000000001,Credit Card,Store
177,799,62,2024-03-09,5,96.79,483.95000000000005,Cash,Store
178,994,92,2024-05-07,3,472.46,1417.3799999999999,Bank Transfer,Online
179,632,79,2024-11-13,3,68.02,204.06,PayPal,Online
180,188,190,2025-01-11,4,359.77,1439.08,Cash,Store
181,232,115,2025-04-12,1,202.96,202.96,PayPal,Online
182,514,161,2025-01-27,4,24.5,98.0,PayPal,Store
183,152,128,2025-04-17,2,261.57,523.14,PayPal,Store
184,849,20,2024-12-09,4,395.58,1582.32,Bank Transfer,Store
185,401,90,2024-01-13,4,22.28,89.12,PayPal,Online
186,272,5,2024-08-12,1,16.7,16.7,PayPal,Online
187,105,187,2025-04-23,3,123.58,370.74,Credit Card,Online
188,72,67,2025-01-27,2,317.17,634.34,Credit Card,Store
189,834,191,2025-09-18,5,463.27,2316.35,Bank Transfer,Store
190,334,184,2024-07-12,4,449.05,1796.2,Credit Card,Online
191,73,141,2024-01-21,4,174.23,696.92,Cash,Store
192,90,76,2024-09-26,1,324.02,324.02,Bank Transfer,Store
193,30,189,2025-01-08,1,290.66,290.66,Credit Card,Online
194,509,159,2024-01-07,2,59.49,118.98,Credit Card,Store
195,408,192,2024-09-23,1,466.14,466.14,Cash,Online
196,827,57,2025-05-24,5,482.25,2411.25,Cash,Online
197,878,131,2024-01-28,4,347.52,1390.08,PayPal,Store
198,356,68,2025-06-20,2,224.49,448.98,Cash,Store
199,638,100,2024-05-03,5,278.66,1393.3000000000002,PayPal,Store
200,745,92,2025-05-25,3,369.53,1108.59,Credit Card,Store
201,506,181,2025-06-13,1,440.45,440.45,Credit Card,Online
202,631,100,2024-06-15,2,255.88,511.76,Credit Card,Online
203,563,6,2025-02-19,1,438.85,438.85,Bank Transfer,Store
204,754,89,2025-04-11,4,465.15,1860.6,Cash,Online
205,548,103,2024-09-12,4,227.16,908.64,Cash,Store
206,844,135,2024-10-06,3,360.33,1080.99,Cash,Online
207,651,152,2024-07-24,2,359.06,718.12,PayPal,Online
208,175,5,2024-11-27,2,438.53,877.06,Cash,Online
209,122,108,2025-07-02,4,292.17,1168.68,PayPal,Store
210,441,106,2025-02-18,2,164.31,328.62,Bank Transfer,Online
211,90,29,2025-03-09,2,112.09,224.18,Bank Transfer,Store
212,49,21,2025-01-19,5,469.93,2349.65,Credit Card,Online
213,505,83,2025-10-05,2,486.75,973.5,Credit Card,Online
214,726,98,2024-06-27,3,130.94,392.82,Credit Card,Store
215,938,61,2024-09-29,5,146.82,734.0999999999999,PayPal,Online
216,389,74,2023-12-19,2,194.96,389.92,Bank Transfer,Store
217,768,19,2025-07-06,4,147.05,588.2,Cash,Store
218,844,125,2025-05-10,4,391.83,1567.32,PayPal,Online
219,355,46,2024-08-08,5,266.09,1330.4499999999998,PayPal,Online
220,725,25,2025-01-03,1,361.21,361.21,Bank Transfer,Store
221,48,186,2024-10-27,4,250.49,1001.96,PayPal,Online
222,160,182,2025-05-16,1,328.52,328.52,Cash,Online
223,777,97,2024-11-08,4,142.16,568.64,Cash,Store
224,889,55,2025-03-28,3,442.49,1327.47,Bank Transfer,Online
225,156,112,2024-06-26,3,323.67,971.01,PayPal,Store
226,25,87,2025-02-12,2,355.67,711.34,Bank Transfer,Store
227,804,125,2025-07-23,3,8.57,25.71,Credit Card,Online
228,489,196,2025-08-09,1,85.76,85.76,PayPal,Online
229,184,189,2024-09-25,5,203.47,1017.35,PayPal,Online
230,538,90,2024-04-27,2,35.47,70.94,Credit Card,Online
231,912,59,2025-10-16,4,150.84,603.36,Credit Card,Store
232,876,139,2025-05-09,2,426.17,852.34,Bank Transfer,Online
233,925,189,2025-01-23,5,269.55,1347.75,PayPal,Store
234,972,144,2024-06-04,4,59.37,237.48,PayPal,Online
235,773,130,2023-12-02,3,361.69,1085.07,Credit Card,Online
236,741,185,2025-09-25,3,195.06,585.1800000000001,Bank Transfer,Online
237,340,49,2025-03-26,5,260.01,1300.05,PayPal,Online
238,855,125,2025-09-26,1,228.26,228.26,Bank Transfer,Online
239,694,107,2025-11-12,1,350.6,350.6,Cash,Online
240,285,92,2024-11-09,1,275.65,275.65,Bank Transfer,Store
241,715,66,2024-03-28,3,89.62,268.86,Credit Card,Online
242,58,26,2024-05-04,5,137.1,685.5,PayPal,Store
243,217,155,2024-10-01,3,74.41,223.23,Credit Card,Store
244,864,180,2025-08-15,4,267.53,1070.12,Credit Card,Online
245,184,43,2024-03-01,2,432.13,864.26,Bank Transfer,Online
246,438,197,2024-01-08,5,362.86,1814.3000000000002,PayPal,Online
247,685,187,2025-09-11,3,165.28,495.84000000000003,Bank Transfer,Online
248,266,152,2025-01-24,5,472.39,2361.95,Bank Transfer,Store
249,690,169,2024-01-15,1,219.37,219.37,Credit Card,Online
250,78,64,2025-02-17,1,75.72,75.72,Bank Transfer,Store
251,536,47,2025-10-13,3,321.84,965.52,Bank Transfer,Online
252,476,59,2024-03-18,3,414.24,1242.72,Cash,Online
253,352,70,2024-10-19,2,367.89,735.78,Credit Card,Store
254,945,86,2024-02-02,4,448.56,1794.24,PayPal,Store
255,658,39,2024-09-23,4,469.74,1878.96,Cash,Store
256,997,112,2024-10-06,3,6.86,20.580000000000002,Credit Card,Online
257,541,64,2024-03-11,5,50.24,251.20000000000002,Cash,Online
258,854,22,2023-12-05,1,210.12,210.12,PayPal,Store
259,872,148,2024-02-14,3,444.03,1332.09,Cash,Online
260,298,10,2024-10-20,1,338.73,338.73,PayPal,Online
261,348,35,2024-08-06,1,323.82,323.82,Credit Card,Store
262,595,16,2024-09-01,4,192.55,770.2,Credit Card,Store
263,140,184,2025-10-29,1,74.23,74.23,PayPal,Online
264,439,191,2024-08-03,4,492.62,1970.48,Credit Card,Store
265,989,194,2025-06-20,1,416.36,416.36,PayPal,Store
266,135,66,2024-11-13,5,139.33,696.6500000000001,Bank Transfer,Online
267,23,152,2025-05-14,2,104.41,208.82,Credit Card,Store
268,495,134,2024-12-27,5,268.23,1341.15,Bank Transfer,Store
269,85,1,2024-10-10,1,117.81,117.81,Cash,Store
270,113,54,2024-07-02,4,372.02,1488.08,Credit Card,Store
271,359,104,2024-08-12,5,169.39,846.9499999999999,Cash,Store
272,897,187,2024-12-21,1,490.25,490.25,Cash,Store
273,709,106,2025-04-29,5,440.42,2202.1,PayPal,Online
274,879,197,2025-11-18,4,105.19,420.76,PayPal,Store
275,766,196,2025-01-09,3,437.76,1313.28,Credit Card,Store
276,14,154,2024-10-04,2,10.37,20.74,PayPal,Store
277,576,11,2024-08-06,5,477.64,2388.2,PayPal,Store
278,98,66,2024-08-10,5,128.63,643.15,Credit Card,Store
279,57,55,2025-07-05,3,52.22,156.66,Bank Transfer,Store
280,939,148,2025-07-11,2,295.49,590.98,PayPal,Online
281,669,101,2024-09-03,1,11.93,11.93,PayPal,Online
282,640,75,2025-10-20,3,254.01,762.03,PayPal,Online
283,958,54,2024-12-17,5,317.53,1587.6499999999999,PayPal,Online
284,948,132,2024-08-29,4,69.37,277.48,Credit Card,Store
285,53,171,2024-02-15,2,222.15,444.3,PayPal,Store
286,377,193,2024-04-11,2,326.23,652.46,Cash,Store
287,155,48,2024-06-14,3,181.91,545.73,PayPal,Store
288,137,192,2024-11-29,2,460.53,921.06,Bank Transfer,Online
289,886,23,2024-10-29,3,134.22,402.65999999999997,Cash,Online
290,55,18,2024-06-30,5,426.28,2131.3999999999996,PayPal,Online
291,746,20,2023-12-04,4,388.4,1553.6,PayPal,Online
292,944,161,2023-12-05,4,6.96,27.84,Credit Card,Store
293,347,3,2024-01-09,2,148.4,296.8,Cash,Store
294,212,153,2024-09-25,4,359.21,1436.84,Cash,Store
295,602,70,2025-01-09,3,472.17,1416.51,Credit Card,Online
296,9,59,2024-11-10,3,421.87,1265.6100000000001,PayPal,Online
297,790,171,2024-08-18,4,171.35,685.4,PayPal,Store
298,505,52,2025-01-07,3,457.35,1372.0500000000002,Bank Transfer,Store
299,467,193,2025-08-02,3,87.56,262.68,Cash,Store
300,751,151,2025-08-19,1,255.39,255.39,Cash,Store
301,147,143,2024-10-17,1,393.89,393.89,Credit Card,Online
302,713,180,2025-08-18,5,244.46,1222.3,Bank Transfer,Online
303,990,100,2025-01-15,1,223.9,223.9,Credit Card,Store
304,676,64,2025-09-24,3,131.38,394.14,Bank Transfer,Online
305,902,140,2024-03-12,4,100.92,403.68,Bank Transfer,Store
306,382,200,2024-07-13,1,340.28,340.28,PayPal,Online
307,134,46,2025-05-13,3,325.28,975.8399999999999,Credit Card,Store
308,980,151,2024-01-13,3,242.43,727.29,Bank Transfer,Online
309,374,30,2024-09-02,3,215.28,645.84,PayPal,Store
310,13,9,2024-01-24,3,304.96,914.8799999999999,Bank Transfer,Store
311,704,129,2024-10-17,3,19.17,57.510000000000005,Credit Card,Store
312,101,4,2024-09-22,4,247.47,989.88,PayPal,Store
313,759,7,2024-08-30,1,253.34,253.34,Cash,Online
314,860,142,2024-06-15,4,315.15,1260.6,Cash,Store
315,834,193,2024-08-08,2,370.5,741.0,Cash,Online
316,192,160,2024-02-20,1,56.46,56.46,Cash,Store
317,771,185,2024-03-28,3,260.67,782.01,Credit Card,Store
318,401,126,2024-04-14,5,377.88,1889.4,Bank Transfer,Store
319,794,153,2025-10-22,5,418.53,2092.6499999999996,PayPal,Store
320,927,5,2024-06-16,2,320.95,641.9,Bank Transfer,Online
321,192,169,2025-09-29,2,490.85,981.7,Cash,Online
322,462,136,2024-07-21,3,255.06,765.1800000000001,Cash,Store
323,266,193,2024-06-18,4,153.55,614.2,Credit Card,Store
324,699,196,2024-01-22,1,22.62,22.62,Bank Transfer,Online
325,936,143,2025-07-19,1,389.08,389.08,Cash,Store
326,115,136,2024-12-31,3,164.14,492.41999999999996,Cash,Store
327,79,9,2025-03-01,5,314.02,1570.1,PayPal,Store
328,674,13,2025-03-19,2,7.03,14.06,Credit Card,Store
329,107,180,2024-11-30,3,43.39,130.17000000000002,Credit Card,Online
330,694,121,2025-11-23,1,321.81,321.81,PayPal,Store
331,170,67,2024-07-16,4,144.49,577.96,Credit Card,Online
332,235,5,2023-12-03,4,219.22,876.88,Credit Card,Store
333,855,27,2024-03-20,4,97.87,391.48,Bank Transfer,Online
334,182,84,2025-08-13,4,20.68,82.72,Credit Card,Store
335,290,144,2025-09-18,2,282.52,565.04,Credit Card,Online
336,545,99,2025-09-07,5,394.48,1972.4,Credit Card,Online
337,393,36,2024-05-04,2,30.97,61.94,PayPal,Online
338,547,125,2024-05-04,5,495.77,2478.85,Credit Card,Online
339,536,85,2025-01-14,5,175.41,877.05,Credit Card,Store
340,729,167,2024-10-10,3,205.58,616.74,Credit Card,Store
341,359,71,2025-11-07,5,89.03,445.15,Bank Transfer,Store
342,960,155,2025-01-18,3,460.56,1381.68,Credit Card,Online
343,157,15,2024-10-25,3,28.51,85.53,PayPal,Store
344,753,148,2023-12-13,5,493.73,2468.65,Cash,Online
345,514,80,2025-01-01,3,437.33,1311.99,Cash,Store
346,350,47,2025-07-24,1,411.63,411.63,Credit Card,Store
347,506,80,2024-05-29,2,160.14,320.28,PayPal,Online
348,892,167,2025-09-09,4,355.31,1421.24,Cash,Store
349,387,196,2024-08-03,3,390.57,1171.71,Credit Card,Online
350,382,143,2025-08-28,4,209.24,836.96,Cash,Store
351,861,120,2024-11-29,5,250.42,1252.1,Credit Card,Store
352,660,52,2025-10-03,2,160.95,321.9,Bank Transfer,Store
353,95,151,2024-01-01,3,117.4,352.20000000000005,Credit Card,Online
354,245,12,2025-06-19,4,202.26,809.04,Bank Transfer,Store
355,248,73,2024-01-18,4,286.31,1145.24,Bank Transfer,Store
356,578,133,2024-11-15,3,332.98,998.94,Credit Card,Online
357,635,52,2023-12-15,4,185.14,740.56,PayPal,Online
358,301,80,2024-06-07,2,496.44,992.88,PayPal,Store
359,927,96,2024-10-12,1,453.63,453.63,Bank Transfer,Online
360,341,46,2024-04-28,5,390.01,1950.05,Credit Card,Online
361,974,161,2024-01-04,5,190.11,950.5500000000001,Credit Card,Store
362,466,74,2025-10-14,4,324.51,1298.04,PayPal,Online
363,65,14,2025-03-27,2,333.0,666.0,Credit Card,Store
364,112,107,2024-07-18,4,356.37,1425.48,Bank Transfer,Online
365,388,86,2025-08-20,1,156.06,156.06,Credit Card,Online
366,594,162,2025-11-26,2,250.06,500.12,Credit Card,Store
367,705,96,2024-06-24,2,147.56,295.12,Bank Transfer,Online
368,11,70,2024-03-28,1,389.06,389.06,Credit Card,Store
369,402,163,2025-11-10,4,292.16,1168.64,Credit Card,Online
370,845,157,2024-05-12,3,372.91,1118.73,Bank Transfer,Store
371,910,99,2025-01-01,4,390.23,1560.92,Cash,Store
372,694,68,2025-04-12,5,164.11,820.5500000000001,Cash,Store
373,483,32,2024-10-14,3,86.86,260.58,Bank Transfer,Online
374,648,34,2024-01-16,5,11.98,59.900000000000006,Bank Transfer,Store
375,918,9,2024-04-12,5,334.11,1670.5500000000002,Bank Transfer,Store
376,755,97,2024-01-04,2,356.9,713.8,Bank Transfer,Online
377,874,96,2025-08-10,4,138.81,555.24,Cash,Store
378,780,33,2025-05-21,1,107.12,107.12,Credit Card,Store
379,303,5,2024-08-14,5,87.06,435.3,PayPal,Store
380,912,4,2025-06-20,2,354.39,708.78,PayPal,Store
381,36,24,2024-01-06,1,400.01,400.01,Credit Card,Store
382,762,109,2025-01-22,2,196.02,392.04,Cash,Online
383,546,43,2025-03-18,2,395.34,790.68,Cash,Store
384,583,6,2025-06-23,4,219.56,878.24,Cash,Store
385,632,190,2025-01-18,1,253.35,253.35,Bank Transfer,Store
386,898,143,2024-05-21,1,289.48,289.48,Cash,Store
387,148,178,2023-12-23,3,386.22,1158.66,Cash,Store
388,81,52,2025-03-16,2,397.46,794.92,Credit Card,Store
389,826,45,2025-07-25,4,134.13,536.52,Cash,Store
390,201,119,2025-10-07,2,53.25,106.5,Bank Transfer,Online
391,615,91,2024-07-02,5,294.0,1470.0,Bank Transfer,Store
392,35,101,2025-07-01,5,10.33,51.65,PayPal,Online
393,477,178,2024-01-22,4,483.4,1933.6,Cash,Store
394,47,186,2024-05-13,3,464.74,1394.22,Credit Card,Store
395,23,166,2024-06-26,5,40.85,204.25,Cash,Online
396,993,102,2025-05-01,3,33.72,101.16,PayPal,Online
397,568,94,2025-02-21,2,208.25,416.5,Bank Transfer,Online
398,727,27,2023-12-09,5,181.75,908.75,Bank Transfer,Online
399,45,188,2025-02-25,2,346.55,693.1,Cash,Store
400,890,120,2025-07-20,1,354.96,354.96,Credit Card,Store
401,412,143,2024-10-31,3,144.82,434.46,PayPal,Store
402,141,94,2025-04-08,4,346.51,1386.04,Bank Transfer,Store
403,609,154,2024-01-20,4,393.96,1575.84,Cash,Online
404,688,71,2025-08-30,4,386.02,1544.08,Cash,Online
405,19,66,2025-03-15,2,200.38,400.76,Credit Card,Online
406,109,59,2024-12-03,2,31.08,62.16,PayPal,Online
407,651,184,2025-03-07,1,30.69,30.69,PayPal,Store
408,468,63,2024-12-10,1,78.86,78.86,Credit Card,Online
409,696,195,2025-10-04,2,19.64,39.28,Cash,Online
410,687,132,2025-09-16,3,239.15,717.45,PayPal,Store
411,371,77,2025-11-13,2,390.65,781.3,Bank Transfer,Store
412,599,176,2025-08-28,3,195.64,586.92,Credit Card,Store
413,761,74,2025-10-25,1,246.79,246.79,Cash,Store
414,894,25,2025-02-19,2,349.63,699.26,Bank Transfer,Store
415,960,2,2025-10-11,5,413.86,2069.3,Bank Transfer,Online
416,425,110,2024-12-12,2,33.92,67.84,PayPal,Store
417,581,176,2024-03-13,1,147.3,147.3,Cash,Online
418,719,174,2025-09-12,5,355.92,1779.6000000000001,PayPal,Store
419,502,81,2024-06-28,5,105.97,529.85,Cash,Store
420,696,145,2024-08-17,3,413.74,1241.22,Bank Transfer,Store
421,579,27,2024-03-27,3,197.69,593.0699999999999,Cash,Online
422,955,125,2025-02-03,3,214.32,642.96,Credit Card,Store
423,725,57,2024-06-25,1,185.15,185.15,Credit Card,Store
424,81,183,2024-02-23,2,381.07,762.14,Bank Transfer,Store
425,644,122,2024-05-10,1,345.59,345.59,PayPal,Online
426,315,133,2024-09-06,5,409.97,2049.8500000000004,Credit Card,Store
